Name;Full name;Date of birth;Age;City of birth;Country of birth;Position;Current club;National_team;Dead;No data;PlayerID;URL
Kostas Tsimikas;Konstantinos Tsimikas;12.6.1996;26;Thessaloniki;Greece;Left-back;Liverpool F.C.;Greece;0;0;025bf6c0-bf3b-5aa3-b20a-dc16727fc8ca;https://en.wikipedia.org/wiki/Kostas_Tsimikas
Mohamed Abou Gabal;Mohamed Qotb Abou Gabal Ali;29.1.1989;33;Asyut;Egypt;Goalkeeper;National Bank of Egypt SC;Egypt;0;0;d7bb7286-f284-5874-933e-9ab60ce16d4e;https://en.wikipedia.org/wiki/Mohamed_Abou_Gabal
Pulga Rodriguez;Luis Miguel Rodríguez;1.1.1985;37;Simoca;Tucumán;Second striker;Club Atlético Colón;Argentina;0;0;64f96cc0-983a-5d1b-928b-5ef850a7d5ec;https://en.wikipedia.org/wiki/Luis_Miguel_Rodr%C3%ADguez_(footballer)
Marc Cucurella;Marc Cucurella Saseta;22.7.1998;24;Alella;Spain;Left-back;Chelsea F.C.;Catalonia;0;0;fcbf1fea-2bab-5d5e-aefc-d53d83bce28a;https://en.wikipedia.org/wiki/Marc_Cucurella
Eli Babalj;Eli Babalj;21.2.1992;30;Sarajevo;SFR Yugoslavia;Striker;Newcastle Jets FC;Australia;0;0;15daf077-5295-5444-b3cb-ca815fb58bcf;https://en.wikipedia.org/wiki/Eli_Babalj
Ramzi Aya;;8.2.1990;32;Rome;Italy;Defender;U.S. Avellino 1912;Italy U20;0;0;c556da3e-49b6-57a3-9287-40671514e9e8;https://en.wikipedia.org/wiki/Ramzi_Aya
Andriy Lunin;Andriy Oleksiyovych Lunin;11.2.1999;23;Krasnohrad;Ukraine;Goalkeeper;Real Madrid CF;Ukraine;0;0;b246b5e3-687b-5dd8-adb4-afc1d39ff199;https://en.wikipedia.org/wiki/Andriy_Lunin
Cristian Medina;Cristian Nicolás Medina;1.6.2002;20;Moreno;Argentina;Central midfielder;Boca Juniors;Argentina U17;0;0;5d48c21c-4405-5cd0-9597-40b4e5fe0fdd;https://en.wikipedia.org/wiki/Cristian_Medina
Ahmed Abdel-Ghani;Ahmed Said Ahmed Hossam Abdel-Ghani;1.12.1981;40;El-Minya;Egypt;Striker;Misr Lel Makkasa SC;Egypt;0;0;d797cd57-ffe5-592c-b04c-f2d86013a1b4;https://en.wikipedia.org/wiki/Ahmed_Abdel-Ghani
Zsombor Takács;;22.2.1999;23;Budapest;Hungary;Centre-Back;Budapesti VSC;Hungary U-19;0;0;1dcc88fe-5295-56fb-a615-1ff6ac284bbc;https://en.wikipedia.org/wiki/Zsombor_Tak%C3%A1cs
Vitalii Mykolenko;Vitaliy Serhiyovych Mykolenko;29.5.1999;23;Cherkasy;Ukraine;Left-back;Everton F.C.;Ukraine;0;0;3374e7b0-dace-5c91-a591-4532a4b728f3;https://en.wikipedia.org/wiki/Vitaliy_Mykolenko
Hiroki Yamada;Hiroki Yamada;27.12.1988;33;Hamamatsu;Shizuoka;Attacking midfielder, winger;Júbilo Iwata;Japan;0;0;cde36f0f-04e2-5215-8570-7d4743958dc6;https://en.wikipedia.org/wiki/Hiroki_Yamada_(footballer)
